country,year,age,sex,gdp_for_year,suicides/100k
Albania,1997,64.5,1,2359903108,0
Albania,1998,87.5,0,2707123772,11.63
Albania,1998,19.5,0,2707123772,10.85
Albania,1998,19.5,1,2707123772,10.83
Albania,1998,29.5,0,2707123772,10.82
Albania,1998,44.5,0,2707123772,7.47
Albania,1998,64.5,0,2707123772,4.9
Albania,1998,29.5,1,2707123772,3.63
Albania,1998,64.5,1,2707123772,3.19
Albania,1998,44.5,1,2707123772,2.42
Albania,1998,9.5,0,2707123772,0.51
Albania,1998,9.5,1,2707123772,0.27
Albania,1998,87.5,1,2707123772,0
Albania,1999,87.5,0,3414760915,11.58
Albania,1999,19.5,0,3414760915,9.58
Albania,1999,87.5,1,3414760915,9.43
Albania,1999,44.5,0,3414760915,7.93
Albania,1999,29.5,0,3414760915,7.84
Albania,1999,64.5,0,3414760915,7.56
Albania,1999,19.5,1,3414760915,6.4
Albania,1999,29.5,1,3414760915,4.7
Albania,1999,64.5,1,3414760915,3.18
Albania,1999,44.5,1,3414760915,1.34
Albania,1999,9.5,1,3414760915,0.27
Albania,1999,9.5,0,3414760915,0
Albania,2000,29.5,0,3632043908,7.33
Albania,2000,64.5,0,3632043908,5.64
Albania,2000,87.5,1,3632043908,5.29
Albania,2000,87.5,0,3632043908,4.02
Albania,2000,19.5,1,3632043908,2.27
Albania,2000,19.5,0,3632043908,2.08
Albania,2000,44.5,1,3632043908,1.51
Albania,2000,29.5,1,3632043908,1.22
Albania,2000,44.5,0,3632043908,1.07
Albania,2000,9.5,0,3632043908,0.27
Albania,2000,9.5,1,3632043908,0
Albania,2000,64.5,1,3632043908,0
Albania,2001,29.5,0,4060758804,10.65
Albania,2001,44.5,0,4060758804,8.98
Albania,2001,64.5,0,4060758804,5.59
Albania,2001,87.5,1,4060758804,4.23
Albania,2001,19.5,0,4060758804,3.91
Albania,2001,19.5,1,4060758804,3.32
Albania,2001,44.5,1,4060758804,3.24
Albania,2001,87.5,0,4060758804,3.22
Albania,2001,64.5,1,4060758804,3.16
Albania,2001,9.5,0,4060758804,1.87
Albania,2001,29.5,1,4060758804,1.8
Albania,2001,9.5,1,4060758804,0.65
Albania,2002,87.5,0,4435078648,12.9
Albania,2002,29.5,0,4435078648,11.15
Albania,2002,44.5,0,4435078648,9.16
Albania,2002,64.5,0,4435078648,6.56
Albania,2002,19.5,0,4435078648,5.7
Albania,2002,19.5,1,4435078648,5.07
Albania,2002,44.5,1,4435078648,4
Albania,2002,29.5,1,4435078648,3.13
Albania,2002,87.5,1,4435078648,2.11
Albania,2002,64.5,1,4435078648,2.09
Albania,2002,9.5,1,4435078648,0.33
Albania,2002,9.5,0,4435078648,0.31
Albania,2003,87.5,1,5746945913,12.22
Albania,2003,64.5,0,5746945913,7.94
Albania,2003,44.5,0,5746945913,7.25
Albania,2003,19.5,0,5746945913,5.49
Albania,2003,19.5,1,5746945913,4.93
Albania,2003,64.5,1,5746945913,4.6
Albania,2003,29.5,0,5746945913,4.38
Albania,2003,29.5,1,5746945913,4.04
Albania,2003,44.5,1,5746945913,3.41
Albania,2003,87.5,0,5746945913,3.06
Albania,2003,9.5,0,5746945913,1.28
Albania,2003,9.5,1,5746945913,0
Albania,2004,87.5,0,7314865176,11.26
Albania,2004,44.5,0,7314865176,9.95
Albania,2004,29.5,0,7314865176,7.85
Albania,2004,19.5,1,7314865176,6.84
Albania,2004,19.5,0,7314865176,6.63
Albania,2004,87.5,1,7314865176,5.89
Albania,2004,29.5,1,7314865176,4.95
Albania,2004,64.5,0,7314865176,4.83
Albania,2004,44.5,1,7314865176,4.34
Albania,2004,64.5,1,7314865176,1.47
Albania,2004,9.5,1,7314865176,1.05
Albania,2004,9.5,0,7314865176,0.33
Albania,2005,19.5,1,8158548717,0
Albania,2005,29.5,1,8158548717,0
Albania,2005,44.5,1,8158548717,0
Albania,2005,9.5,1,8158548717,0
Albania,2005,64.5,1,8158548717,0
Albania,2005,87.5,1,8158548717,0
Albania,2005,19.5,0,8158548717,0
Albania,2005,29.5,0,8158548717,0
Albania,2005,44.5,0,8158548717,0
Albania,2005,9.5,0,8158548717,0
Albania,2005,64.5,0,8158548717,0
Albania,2005,87.5,0,8158548717,0
Albania,2006,19.5,1,8992642349,0
Albania,2006,29.5,1,8992642349,0
Albania,2006,44.5,1,8992642349,0
Albania,2006,9.5,1,8992642349,0
Albania,2006,64.5,1,8992642349,0
Albania,2006,87.5,1,8992642349,0
Albania,2006,19.5,0,8992642349,0
Albania,2006,29.5,0,8992642349,0
Albania,2006,44.5,0,8992642349,0
Albania,2006,9.5,0,8992642349,0
Albania,2006,64.5,0,8992642349,0
Albania,2006,87.5,0,8992642349,0
Albania,2007,87.5,0,10701011897,18.88
Albania,2007,44.5,0,10701011897,7.66
Albania,2007,64.5,0,10701011897,6.25
Albania,2007,87.5,1,10701011897,5.23
Albania,2007,29.5,0,10701011897,5.22
Albania,2007,19.5,1,10701011897,4.63
Albania,2007,19.5,0,10701011897,4.51
Albania,2007,29.5,1,10701011897,4.36
Albania,2007,64.5,1,10701011897,4.07
Albania,2007,44.5,1,10701011897,3.57
Albania,2007,9.5,0,10701011897,1.47
Albania,2007,9.5,1,10701011897,0
Albania,2008,29.5,0,12881352688,12.15
Albania,2008,44.5,0,12881352688,9.81
Albania,2008,64.5,0,12881352688,9.18
Albania,2008,87.5,1,12881352688,8.42
Albania,2008,19.5,1,12881352688,7.24
Albania,2008,29.5,1,12881352688,4.93
Albania,2008,44.5,1,12881352688,4.82
Albania,2008,87.5,0,12881352688,4.49
Albania,2008,19.5,0,12881352688,3.84
Albania,2008,64.5,1,12881352688,3.09
Albania,2008,9.5,0,12881352688,2.67
Albania,2008,9.5,1,12881352688,0.41
Albania,2009,19.5,1,12044212904,0
Albania,2009,29.5,1,12044212904,0
Albania,2009,44.5,1,12044212904,0
Albania,2009,9.5,1,12044212904,0
Albania,2009,64.5,1,12044212904,0
Albania,2009,87.5,1,12044212904,0
Albania,2009,19.5,0,12044212904,0
Albania,2009,29.5,0,12044212904,0
Albania,2009,44.5,0,12044212904,0
Albania,2009,9.5,0,12044212904,0
Albania,2009,64.5,0,12044212904,0
Albania,2009,87.5,0,12044212904,0
Albania,2010,64.5,0,11926953259,8.27
Albania,2010,44.5,0,11926953259,5.38
Albania,2010,29.5,0,11926953259,5.01
Albania,2010,87.5,0,11926953259,3.94
Albania,2010,19.5,0,11926953259,3.58
Albania,2010,29.5,1,11926953259,3.27
Albania,2010,87.5,1,11926953259,3.1
Albania,2010,44.5,1,11926953259,3.04
Albania,2010,64.5,1,11926953259,2.9
Albania,2010,19.5,1,11926953259,2.28
Albania,2010,9.5,1,11926953259,0.89
Albania,2010,9.5,0,11926953259,0
Antigua and Barbuda,1985,19.5,1,240923926,0
Antigua and Barbuda,1985,29.5,1,240923926,0
Antigua and Barbuda,1985,44.5,1,240923926,0
Antigua and Barbuda,1985,9.5,1,240923926,0
Antigua and Barbuda,1985,64.5,1,240923926,0
Antigua and Barbuda,1985,87.5,1,240923926,0
Antigua and Barbuda,1985,19.5,0,240923926,0
Antigua and Barbuda,1985,29.5,0,240923926,0
Antigua and Barbuda,1985,44.5,0,240923926,0
Antigua and Barbuda,1985,9.5,0,240923926,0
Antigua and Barbuda,1985,64.5,0,240923926,0
Antigua and Barbuda,1985,87.5,0,240923926,0
Antigua and Barbuda,1986,19.5,1,290440148,0
Antigua and Barbuda,1986,29.5,1,290440148,0
Antigua and Barbuda,1986,44.5,1,290440148,0
Antigua and Barbuda,1986,9.5,1,290440148,0
Antigua and Barbuda,1986,64.5,1,290440148,0
Antigua and Barbuda,1986,87.5,1,290440148,0
Antigua and Barbuda,1986,19.5,0,290440148,0
Antigua and Barbuda,1986,29.5,0,290440148,0
Antigua and Barbuda,1986,44.5,0,290440148,0
Antigua and Barbuda,1986,9.5,0,290440148,0
Antigua and Barbuda,1986,64.5,0,290440148,0
Antigua and Barbuda,1986,87.5,0,290440148,0
Antigua and Barbuda,1987,19.5,1,337174852,0
Antigua and Barbuda,1987,29.5,1,337174852,0
Antigua and Barbuda,1987,44.5,1,337174852,0
Antigua and Barbuda,1987,9.5,1,337174852,0
Antigua and Barbuda,1987,64.5,1,337174852,0
Antigua and Barbuda,1987,87.5,1,337174852,0
Antigua and Barbuda,1987,19.5,0,337174852,0
Antigua and Barbuda,1987,29.5,0,337174852,0
Antigua and Barbuda,1987,44.5,0,337174852,0
Antigua and Barbuda,1987,9.5,0,337174852,0
Antigua and Barbuda,1987,64.5,0,337174852,0
Antigua and Barbuda,1987,87.5,0,337174852,0
Antigua and Barbuda,1988,19.5,1,398637741,0
Antigua and Barbuda,1988,29.5,1,398637741,0
Antigua and Barbuda,1988,44.5,1,398637741,0
Antigua and Barbuda,1988,9.5,1,398637741,0
Antigua and Barbuda,1988,64.5,1,398637741,0
Antigua and Barbuda,1988,87.5,1,398637741,0
Antigua and Barbuda,1988,19.5,0,398637741,0
Antigua and Barbuda,1988,29.5,0,398637741,0
Antigua and Barbuda,1988,44.5,0,398637741,0
Antigua and Barbuda,1988,9.5,0,398637741,0
Antigua and Barbuda,1988,64.5,0,398637741,0
Antigua and Barbuda,1988,87.5,0,398637741,0
Antigua and Barbuda,1989,19.5,1,438794778,0
Antigua and Barbuda,1989,29.5,1,438794778,0
Antigua and Barbuda,1989,44.5,1,438794778,0
Antigua and Barbuda,1989,9.5,1,438794778,0
Antigua and Barbuda,1989,64.5,1,438794778,0
Antigua and Barbuda,1989,87.5,1,438794778,0
Antigua and Barbuda,1989,19.5,0,438794778,0
Antigua and Barbuda,1989,29.5,0,438794778,0
Antigua and Barbuda,1989,44.5,0,438794778,0
Antigua and Barbuda,1989,9.5,0,438794778,0
Antigua and Barbuda,1989,64.5,0,438794778,0
Antigua and Barbuda,1989,87.5,0,438794778,0
Antigua and Barbuda,1990,44.5,0,459469074,17.24
Antigua and Barbuda,1990,19.5,1,459469074,0
Antigua and Barbuda,1990,29.5,1,459469074,0
Antigua and Barbuda,1990,44.5,1,459469074,0
Antigua and Barbuda,1990,9.5,1,459469074,0
Antigua and Barbuda,1990,64.5,1,459469074,0
Antigua and Barbuda,1990,87.5,1,459469074,0
Antigua and Barbuda,1990,19.5,0,459469074,0
Antigua and Barbuda,1990,29.5,0,459469074,0
Antigua and Barbuda,1990,9.5,0,459469074,0
Antigua and Barbuda,1990,64.5,0,459469074,0
Antigua and Barbuda,1990,87.5,0,459469074,0
Antigua and Barbuda,1991,19.5,1,481706333,0
Antigua and Barbuda,1991,29.5,1,481706333,0
Antigua and Barbuda,1991,44.5,1,481706333,0
Antigua and Barbuda,1991,9.5,1,481706333,0
Antigua and Barbuda,1991,64.5,1,481706333,0
Antigua and Barbuda,1991,87.5,1,481706333,0
Antigua and Barbuda,1991,19.5,0,481706333,0
Antigua and Barbuda,1991,29.5,0,481706333,0
Antigua and Barbuda,1991,44.5,0,481706333,0
Antigua and Barbuda,1991,9.5,0,481706333,0
Antigua and Barbuda,1991,64.5,0,481706333,0
Antigua and Barbuda,1991,87.5,0,481706333,0
Antigua and Barbuda,1992,19.5,1,499281148,0
Antigua and Barbuda,1992,29.5,1,499281148,0
Antigua and Barbuda,1992,44.5,1,499281148,0
Antigua and Barbuda,1992,9.5,1,499281148,0
Antigua and Barbuda,1992,64.5,1,499281148,0
Antigua and Barbuda,1992,87.5,1,499281148,0
Antigua and Barbuda,1992,19.5,0,499281148,0
Antigua and Barbuda,1992,29.5,0,499281148,0
Antigua and Barbuda,1992,44.5,0,499281148,0
Antigua and Barbuda,1992,9.5,0,499281148,0
Antigua and Barbuda,1992,64.5,0,499281148,0
Antigua and Barbuda,1992,87.5,0,499281148,0
Antigua and Barbuda,1993,29.5,0,535172778,15
Antigua and Barbuda,1993,19.5,1,535172778,0
Antigua and Barbuda,1993,29.5,1,535172778,0
Antigua and Barbuda,1993,44.5,1,535172778,0
Antigua and Barbuda,1993,9.5,1,535172778,0
Antigua and Barbuda,1993,64.5,1,535172778,0
Antigua and Barbuda,1993,87.5,1,535172778,0
Antigua and Barbuda,1993,19.5,0,535172778,0
Antigua and Barbuda,1993,44.5,0,535172778,0
Antigua and Barbuda,1993,9.5,0,535172778,0
Antigua and Barbuda,1993,64.5,0,535172778,0
Antigua and Barbuda,1993,87.5,0,535172778,0
Antigua and Barbuda,1994,19.5,1,589429593,0
Antigua and Barbuda,1994,29.5,1,589429593,0
Antigua and Barbuda,1994,44.5,1,589429593,0
Antigua and Barbuda,1994,9.5,1,589429593,0
Antigua and Barbuda,1994,64.5,1,589429593,0
Antigua and Barbuda,1994,87.5,1,589429593,0
Antigua and Barbuda,1994,19.5,0,589429593,0
Antigua and Barbuda,1994,29.5,0,589429593,0
Antigua and Barbuda,1994,44.5,0,589429593,0
Antigua and Barbuda,1994,9.5,0,589429593,0
Antigua and Barbuda,1994,64.5,0,589429593,0
Antigua and Barbuda,1994,87.5,0,589429593,0
Antigua and Barbuda,1995,19.5,1,577280741,0
Antigua and Barbuda,1995,29.5,1,577280741,0
Antigua and Barbuda,1995,44.5,1,577280741,0
Antigua and Barbuda,1995,9.5,1,577280741,0
Antigua and Barbuda,1995,64.5,1,577280741,0
Antigua and Barbuda,1995,87.5,1,577280741,0
Antigua and Barbuda,1995,19.5,0,577280741,0
Antigua and Barbuda,1995,29.5,0,577280741,0
Antigua and Barbuda,1995,44.5,0,577280741,0
Antigua and Barbuda,1995,9.5,0,577280741,0
Antigua and Barbuda,1995,64.5,0,577280741,0
Antigua and Barbuda,1995,87.5,0,577280741,0
Antigua and Barbuda,1998,19.5,1,727860593,0
Antigua and Barbuda,1998,29.5,1,727860593,0
Antigua and Barbuda,1998,44.5,1,727860593,0
Antigua and Barbuda,1998,9.5,1,727860593,0
Antigua and Barbuda,1998,64.5,1,727860593,0
Antigua and Barbuda,1998,87.5,1,727860593,0
Antigua and Barbuda,1998,19.5,0,727860593,0
Antigua and Barbuda,1998,29.5,0,727860593,0
Antigua and Barbuda,1998,44.5,0,727860593,0
Antigua and Barbuda,1998,9.5,0,727860593,0
Antigua and Barbuda,1998,64.5,0,727860593,0
Antigua and Barbuda,1998,87.5,0,727860593,0
Antigua and Barbuda,1999,19.5,1,766198926,0
Antigua and Barbuda,1999,29.5,1,766198926,0
Antigua and Barbuda,1999,44.5,1,766198926,0
Antigua and Barbuda,1999,9.5,1,766198926,0
Antigua and Barbuda,1999,64.5,1,766198926,0
Antigua and Barbuda,1999,87.5,1,766198926,0
Antigua and Barbuda,1999,19.5,0,766198926,0
Antigua and Barbuda,1999,29.5,0,766198926,0
Antigua and Barbuda,1999,44.5,0,766198926,0
Antigua and Barbuda,1999,9.5,0,766198926,0
Antigua and Barbuda,1999,64.5,0,766198926,0
Antigua and Barbuda,1999,87.5,0,766198926,0
Antigua and Barbuda,2000,64.5,0,830158778,30
Antigua and Barbuda,2000,44.5,0,830158778,9.97
Antigua and Barbuda,2000,19.5,1,830158778,0
Antigua and Barbuda,2000,29.5,1,830158778,0
Antigua and Barbuda,2000,44.5,1,830158778,0
Antigua and Barbuda,2000,9.5,1,830158778,0
Antigua and Barbuda,2000,64.5,1,830158778,0
Antigua and Barbuda,2000,87.5,1,830158778,0
Antigua and Barbuda,2000,19.5,0,830158778,0
Antigua and Barbuda,2000,29.5,0,830158778,0
Antigua and Barbuda,2000,9.5,0,830158778,0
Antigua and Barbuda,2000,87.5,0,830158778,0
Antigua and Barbuda,2001,44.5,0,800740259,19.45
Antigua and Barbuda,2001,19.5,1,800740259,0
Antigua and Barbuda,2001,29.5,1,800740259,0
Antigua and Barbuda,2001,44.5,1,800740259,0
Antigua and Barbuda,2001,9.5,1,800740259,0
Antigua and Barbuda,2001,64.5,1,800740259,0
Antigua and Barbuda,2001,87.5,1,800740259,0
Antigua and Barbuda,2001,19.5,0,800740259,0
Antigua and Barbuda,2001,29.5,0,800740259,0
Antigua and Barbuda,2001,9.5,0,800740259,0
Antigua and Barbuda,2001,64.5,0,800740259,0
Antigua and Barbuda,2001,87.5,0,800740259,0
Antigua and Barbuda,2002,19.5,1,814615333,0
Antigua and Barbuda,2002,29.5,1,814615333,0
Antigua and Barbuda,2002,44.5,1,814615333,0
Antigua and Barbuda,2002,9.5,1,814615333,0
Antigua and Barbuda,2002,64.5,1,814615333,0
Antigua and Barbuda,2002,87.5,1,814615333,0
Antigua and Barbuda,2002,19.5,0,814615333,0
Antigua and Barbuda,2002,29.5,0,814615333,0
Antigua and Barbuda,2002,44.5,0,814615333,0
Antigua and Barbuda,2002,9.5,0,814615333,0
Antigua and Barbuda,2002,64.5,0,814615333,0
Antigua and Barbuda,2002,87.5,0,814615333,0
Antigua and Barbuda,2003,64.5,0,855643111,27.82
Antigua and Barbuda,2003,19.5,1,855643111,0
Antigua and Barbuda,2003,29.5,1,855643111,0
Antigua and Barbuda,2003,44.5,1,855643111,0
Antigua and Barbuda,2003,9.5,1,855643111,0
Antigua and Barbuda,2003,64.5,1,855643111,0
Antigua and Barbuda,2003,87.5,1,855643111,0
Antigua and Barbuda,2003,19.5,0,855643111,0
Antigua and Barbuda,2003,29.5,0,855643111,0
Antigua and Barbuda,2003,44.5,0,855643111,0
Antigua and Barbuda,2003,9.5,0,855643111,0
Antigua and Barbuda,2003,87.5,0,855643111,0
Antigua and Barbuda,2004,64.5,0,919577148,27.29
Antigua and Barbuda,2004,44.5,0,919577148,8.77
Antigua and Barbuda,2004,19.5,1,919577148,0
Antigua and Barbuda,2004,29.5,1,919577148,0
Antigua and Barbuda,2004,44.5,1,919577148,0
Antigua and Barbuda,2004,9.5,1,919577148,0
Antigua and Barbuda,2004,64.5,1,919577148,0
Antigua and Barbuda,2004,87.5,1,919577148,0
Antigua and Barbuda,2004,19.5,0,919577148,0
Antigua and Barbuda,2004,29.5,0,919577148,0
Antigua and Barbuda,2004,9.5,0,919577148,0
Antigua and Barbuda,2004,87.5,0,919577148,0
Antigua and Barbuda,2005,19.5,1,1022191296,0
Antigua and Barbuda,2005,29.5,1,1022191296,0
Antigua and Barbuda,2005,44.5,1,1022191296,0
Antigua and Barbuda,2005,9.5,1,1022191296,0
Antigua and Barbuda,2005,64.5,1,1022191296,0
Antigua and Barbuda,2005,87.5,1,1022191296,0
Antigua and Barbuda,2005,19.5,0,1022191296,0
Antigua and Barbuda,2005,29.5,0,1022191296,0
Antigua and Barbuda,2005,44.5,0,1022191296,0
Antigua and Barbuda,2005,9.5,0,1022191296,0
Antigua and Barbuda,2005,64.5,0,1022191296,0
Antigua and Barbuda,2005,87.5,0,1022191296,0
Antigua and Barbuda,2006,19.5,1,1157005444,0
Antigua and Barbuda,2006,29.5,1,1157005444,0
Antigua and Barbuda,2006,44.5,1,1157005444,0
Antigua and Barbuda,2006,9.5,1,1157005444,0
Antigua and Barbuda,2006,64.5,1,1157005444,0
Antigua and Barbuda,2006,87.5,1,1157005444,0
Antigua and Barbuda,2006,19.5,0,1157005444,0
Antigua and Barbuda,2006,29.5,0,1157005444,0
Antigua and Barbuda,2006,44.5,0,1157005444,0
Antigua and Barbuda,2006,9.5,0,1157005444,0
Antigua and Barbuda,2006,64.5,0,1157005444,0
Antigua and Barbuda,2006,87.5,0,1157005444,0
Antigua and Barbuda,2007,44.5,0,1311401333,7.98
Antigua and Barbuda,2007,19.5,1,1311401333,0
Antigua and Barbuda,2007,29.5,1,1311401333,0
Antigua and Barbuda,2007,44.5,1,1311401333,0
Antigua and Barbuda,2007,9.5,1,1311401333,0
Antigua and Barbuda,2007,64.5,1,1311401333,0
Antigua and Barbuda,2007,87.5,1,1311401333,0
Antigua and Barbuda,2007,19.5,0,1311401333,0
Antigua and Barbuda,2007,29.5,0,1311401333,0
Antigua and Barbuda,2007,9.5,0,1311401333,0
Antigua and Barbuda,2007,64.5,0,1311401333,0
Antigua and Barbuda,2007,87.5,0,1311401333,0
Antigua and Barbuda,2008,19.5,1,1368431037,0
Antigua and Barbuda,2008,29.5,1,1368431037,0
Antigua and Barbuda,2008,44.5,1,1368431037,0
Antigua and Barbuda,2008,9.5,1,1368431037,0
Antigua and Barbuda,2008,64.5,1,1368431037,0
Antigua and Barbuda,2008,87.5,1,1368431037,0
Antigua and Barbuda,2008,19.5,0,1368431037,0
Antigua and Barbuda,2008,29.5,0,1368431037,0
Antigua and Barbuda,2008,44.5,0,1368431037,0
Antigua and Barbuda,2008,9.5,0,1368431037,0
Antigua and Barbuda,2008,64.5,0,1368431037,0
Antigua and Barbuda,2008,87.5,0,1368431037,0
Antigua and Barbuda,2009,19.5,1,1224253000,0
Antigua and Barbuda,2009,29.5,1,1224253000,0
Antigua and Barbuda,2009,44.5,1,1224253000,0
Antigua and Barbuda,2009,9.5,1,1224253000,0
Antigua and Barbuda,2009,64.5,1,1224253000,0
Antigua and Barbuda,2009,87.5,1,1224253000,0
Antigua and Barbuda,2009,19.5,0,1224253000,0
Antigua and Barbuda,2009,29.5,0,1224253000,0
Antigua and Barbuda,2009,44.5,0,1224253000,0
Antigua and Barbuda,2009,9.5,0,1224253000,0
Antigua and Barbuda,2009,64.5,0,1224253000,0
Antigua and Barbuda,2009,87.5,0,1224253000,0
Antigua and Barbuda,2012,19.5,1,1211411704,0
Antigua and Barbuda,2012,29.5,1,1211411704,0
Antigua and Barbuda,2012,44.5,1,1211411704,0
Antigua and Barbuda,2012,9.5,1,1211411704,0
Antigua and Barbuda,2012,64.5,1,1211411704,0
Antigua and Barbuda,2012,87.5,1,1211411704,0
Antigua and Barbuda,2012,19.5,0,1211411704,0
Antigua and Barbuda,2012,29.5,0,1211411704,0
Antigua and Barbuda,2012,44.5,0,1211411704,0
Antigua and Barbuda,2012,9.5,0,1211411704,0
Antigua and Barbuda,2012,64.5,0,1211411704,0
Antigua and Barbuda,2012,87.5,0,1211411704,0
Antigua and Barbuda,2013,19.5,1,1192925407,0
Antigua and Barbuda,2013,29.5,1,1192925407,0
Antigua and Barbuda,2013,44.5,1,1192925407,0
Antigua and Barbuda,2013,9.5,1,1192925407,0
Antigua and Barbuda,2013,64.5,1,1192925407,0
Antigua and Barbuda,2013,87.5,1,1192925407,0
Antigua and Barbuda,2013,19.5,0,1192925407,0
Antigua and Barbuda,2013,29.5,0,1192925407,0
Antigua and Barbuda,2013,44.5,0,1192925407,0
Antigua and Barbuda,2013,9.5,0,1192925407,0
Antigua and Barbuda,2013,64.5,0,1192925407,0
Antigua and Barbuda,2013,87.5,0,1192925407,0
Antigua and Barbuda,2014,19.5,1,1280133333,0
Antigua and Barbuda,2014,29.5,1,1280133333,0
Antigua and Barbuda,2014,44.5,1,1280133333,0
Antigua and Barbuda,2014,9.5,1,1280133333,0
Antigua and Barbuda,2014,64.5,1,1280133333,0
Antigua and Barbuda,2014,87.5,1,1280133333,0
Antigua and Barbuda,2014,19.5,0,1280133333,0
Antigua and Barbuda,2014,29.5,0,1280133333,0
Antigua and Barbuda,2014,44.5,0,1280133333,0
Antigua and Barbuda,2014,9.5,0,1280133333,0
Antigua and Barbuda,2014,64.5,0,1280133333,0
Antigua and Barbuda,2014,87.5,0,1280133333,0
Antigua and Barbuda,2015,64.5,1,1364863037,15.62
